Query_ID	Dec_ID	Rank	Score
0	1r5y	1	1.0
0	1s38	2	0.272203947368421
0	4cr9	3	0.22352941176470587
0	2xj7	1	1.0
0	2w66	2	0.20066889632107024
0	3gv9	3	0.11360398860398861
0	2hb1	1	1.0
0	2qbq	2	0.21083105474914532
0	2qbr	3	0.20051776564087087
0	3dx2	1	1.0
0	3dx1	2	0.10888501742160278
0	3f3d	3	0.07451923076923078
0	2j7h	1	1.0
0	2w66	2	0.19481981981981983
0	3fv2	3	0.10201688555347091
0	3lka	1	1.0
0	4jsz	2	0.32457386363636365
0	3ehy	3	0.22690570299265952
0	1bcu	1	1.0
0	3ao4	2	0.04554655870445344
0	4cr9	3	0.04220085470085469
0	1ps3	1	1.0
0	2j78	2	0.1600284495021337
0	3d4z	3	0.14794303797468356
0	2j78	1	1.0
0	1ps3	2	0.1600284495021337
0	3d4z	3	0.1495238095238095
0	3d6q	1	1.0
0	3dxg	2	0.4118763724198507
0	1w4o	3	0.3331079558260086
0	3gy4	1	1.0
0	1c5z	2	0.43448275862068964
0	1o5b	3	0.1584274952919021
0	2qbp	1	1.0
0	2qbq	2	0.4964911707998918
0	2qbr	3	0.40468494088816953
0	1c5z	1	1.0
0	3gy4	2	0.43448275862068964
0	1o5b	3	0.19537815126050417
0	3g31	1	1.0
0	3f3d	2	0.21856866537717604
0	3ehy	3	0.19646892655367232
0	3qqs	1	1.0
0	4gkm	2	0.1858219351570415
0	3pxf	3	0.10085476329631793
0	3f3c	1	1.0
0	3f3e	2	0.35657894736842105
0	3f3d	3	0.3226902173913043
0	4agn	1	1.0
0	4agp	2	0.5409259259259259
0	4agq	3	0.5065047348199866
0	2weg	1	1.0
0	4jsz	2	0.20714285714285713
0	3lka	3	0.17607973421926912
0	3dxg	1	1.0
0	1w4o	2	0.47047919874006827
0	3d6q	3	0.4118763724198507
0	1gpk	1	1.0
0	1gpn	2	0.2681954137587238
0	4j21	3	0.11043587627557094
0	3r88	1	1.0
0	4owm	2	0.29447115384615385
0	3twp	3	0.2295150501672241
0	3f3d	1	1.0
0	3f3e	2	0.32960526315789473
0	3f3c	3	0.3226902173913043
0	1w4o	1	1.0
0	3dxg	2	0.47047919874006827
0	3d6q	3	0.3331079558260086
0	3dx1	1	1.0
0	3dx2	2	0.10888501742160278
0	2j7h	3	0.09954407294832827
0	2wvt	1	1.0
0	2qnq	2	0.14262820512820512
0	4pcs	3	0.08020408163265305
0	1u1b	1	1.0
0	1o0h	2	0.18054303236454766
0	3coz	3	0.15548524539703368
0	4agp	1	1.0
0	4agn	2	0.5409259259259259
0	5a7b	3	0.47740578630409136
0	2qnq	1	1.0
0	2wvt	2	0.14262820512820512
0	3udh	3	0.0648049645390071
0	3kwa	1	0.5
0	1uto	2	0.025
0	5c28	3	0.015625
0	3f3e	1	1.0
0	3f3c	2	0.35657894736842105
0	3f3d	3	0.32960526315789473
0	3kgp	1	1.0
0	3f3e	2	0.24483306836248014
0	4ddk	3	0.24166666666666664
0	3syr	1	1.0
0	4eky	2	0.44759259259259254
0	2al5	3	0.2334306318681319
0	4agq	1	1.0
0	4agn	2	0.5065047348199866
0	4agp	3	0.47293123543123544
