Query_ID	Dec_ID	Rank	Score
36	1r5y	1	4.999999999999991
438	4cr9	2	1.919191919191918
439	1s38	3	1.849489795918368
669	2v00	4	1.5273469387755105
378	1bcu	5	1.4444444444444446
201	2xj7	1	4.999999999999982
245	2w66	2	1.556603773584902
1152	3qqs	3	1.5238095238095233
245	3gv9	4	0.989583333333333
1010	3ejr	5	0.8455364455364442
289	2hb1	1	4.999999999999997
1927	2qbq	2	1.191666666666664
1883	2qbr	3	1.1569133677567367
363	4llx	4	0.9487179487179482
1883	2qbp	5	0.8278570919784665
7	3dx2	1	4.999999999999989
148	3dx1	2	1.1754385964912273
397	3f3d	3	0.5902636916835694
650	3f3e	4	0.5666666666666667
1723	3kgp	5	0.5416666666666662
145	2j7h	1	5.000000000000001
1556	2w66	2	1.219077568134168
575	3dx1	3	1.1754385964912273
313	3d4z	4	0.7641025641025629
1470	1ps3	5	0.7151162790697659
185	3lka	1	5.0000000000000036
319	4jsz	2	2.520833333333333
84	2weg	3	1.4999999999999978
319	3ehy	4	1.4387130617240733
319	3nx7	5	1.2134821933295639
171	1bcu	1	4.999999999999997
1806	3ao4	2	0.23692307692307685
682	4ih7	3	0.21634615384615358
1121	3dx1	4	0.2105263157894736
378	4cr9	5	0.20202020202020193
64	1ps3	1	5.000000000000001
1114	2j78	2	1.2820512820512793
440	3d4z	3	1.184615384615382
1061	3syr	4	0.9557377049180329
209	2j7h	5	0.925
40	2j78	1	4.999999999999987
1736	1ps3	2	1.2441860465116246
1319	3d4z	3	1.184615384615382
210	2w4x	4	0.892679975801571
209	2j7h	5	0.8
368	3d6q	1	4.999999999999956
222	3dxg	2	2.9339855455667183
731	1w4o	3	2.3781818181818157
1004	3syr	4	1.5336065573770499
1564	1nc1	5	1.2693757137419115
888	3gy4	1	3.9999999999999942
174	1c5z	2	3.065789473684213
174	1o5b	3	0.9555555555555535
364	1oyt	4	0.7467477646878192
231	1o3f	5	0.6551451331296371
190	2qbp	1	4.999999999999983
810	2qbq	2	3.7666666666666613
1458	2qbr	3	3.199566121629352
289	2hb1	4	2.443181818181817
695	1uto	5	1.683333333333334
99	1c5z	1	5.0
231	3gy4	2	2.321428571428571
174	1o5b	3	1.1111111111111085
99	4jsz	4	1.0833333333333333
1380	1uto	5	0.9666666666666668
1	3g31	1	4.999999999999988
1	3f3d	2	1.5740365111561834
715	3f3e	3	1.4166666666666672
1680	3f3c	4	1.411764705882353
1286	3nq9	5	1.3888888888888875
127	3qqs	1	3.9999999999999987
777	4gkm	2	0.865769496204278
127	3g2z	3	0.4333333333333329
127	3pxf	4	0.4146464646464639
27	1z9g	5	0.3624408983451532
4	3f3c	1	5.0
80	3f3e	2	3.233333333333329
1	3f3d	3	2.440162271805267
1680	1p1q	4	1.9851537645811244
1455	2al5	5	1.911304347826091
151	4agn	1	3.9999999999999973
1569	4agp	2	2.958347107437979
1569	4agq	3	2.834227787716154
475	5a7b	4	1.627285172739714
1355	5aba	5	1.1746700879765384
81	2weg	1	4.999999999999998
350	4jsz	2	1.6041666666666663
84	3lka	3	1.3600000000000005
1171	4llx	4	0.9487179487179482
699	4owm	5	0.8441558441558438
194	3dxg	1	4.999999999999958
731	1w4o	2	2.941818181818179
758	3d6q	3	2.766414141414133
1004	3syr	4	1.6647540983606566
157	1o0h	5	1.4374015523883563
518	1gpk	1	5.000000000000012
637	1gpn	2	1.9953623188405687
973	4j21	3	0.9732536249299053
1980	3udh	4	0.9333333333333316
49	3gr2	5	0.9290780141843951
910	3r88	1	3.999999999999987
1568	4owm	2	2.0129870129870095
1568	3twp	3	1.83333333333333
650	3f3e	4	1.4166666666666672
715	4ddk	5	1.35
35	3f3d	1	4.999999999999986
526	3f3e	2	2.9499999999999966
1	3f3c	3	2.272058823529412
1	3g31	4	1.8461538461538423
526	1p1q	5	1.7465535524920468
302	1w4o	1	4.999999999999966
222	3dxg	2	3.2368613230591
758	3d6q	3	2.482323232323225
1004	3syr	4	1.83032786885246
1	3g31	5	1.692307692307689
109	3dx1	1	4.999999999999999
148	3dx2	2	0.8153846153846146
575	2j7h	3	0.7
575	3n7a	4	0.49579831932773044
1121	1bcu	5	0.4444444444444444
11	2wvt	1	4.999999999999997
1685	2qnq	2	1.3499999999999999
1620	4pcs	3	0.38715393133997744
1620	4j28	4	0.258241758241758
1620	2xii	5	0.2462807797537611
643	1u1b	1	4.9999999999999805
1716	1o0h	2	2.1228626193232376
74	3coz	3	1.6140175902884704
1525	3coy	4	1.59038461538461
1119	1w4o	5	1.5569696969696951
1186	4agp	1	4.999999999999925
151	4agn	2	3.2648766823802666
1569	4agq	3	3.060226595110309
1952	5a7b	4	2.4768800223345493
1017	3acw	5	1.5682051282051275
17	2qnq	1	5.000000000000002
1685	2wvt	2	0.9444444444444446
17	3u8k	3	0.30294817556848214
1330	3udh	4	0.2666666666666664
1330	3u8n	5	0.24280510018214904
825	3kwa	1	3.0
825	1uto	2	0.15000000000000002
825	5c28	3	0.09375
825	3ueu	4	0.07692307692307679
825	4ciw	5	0.0612244897959183
80	3f3e	1	4.999999999999989
80	3f3c	2	2.088235294117647
526	3f3d	3	2.046653144016222
526	3f3a	4	1.4999999999999971
526	1p1q	5	1.4644750795334043
36	3kgp	1	3.999999999999989
80	3f3e	2	1.9833333333333338
1128	4ddk	3	1.6999999999999997
1823	4owm	4	1.688311688311686
80	3f3c	5	1.4705882352941178
88	3syr	1	4.999999999999964
250	4eky	2	2.629901029510193
758	2al5	3	1.911304347826091
1004	3dxg	4	1.6250786935609771
1004	1w4o	5	1.6109090909090893
726	4agq	1	4.999999999999987
151	4agn	2	3.098807815809248
1569	4agp	3	3.024917355371861
475	5a7b	4	1.7619350346623028
1152	3qqs	5	1.5238095238095233
